node,v_out,std,v_in (V),std(mV)
0,1.943,5,1.937,2
1,1.931,1,1.938,2
2,1.932,3,1.937,2
3,1.927,5,1.945,1
4,1.925,5,1.944,2
5,1.911,1,1.944,2
6,1.911,1,1.943,2
7,1.91,3,1.951,2
8,1.91,2,1.95,1
9,1.892,3,1.95,1
10,1.893,4,1.95,1
11,1.863,3,1.934,2
12,1.862,3,1.932,2
13,1.846,5,1.932,3
14,1.848,5,1.931,2
15,1.833,2,1.932,3
16,1.833,3,1.931,1
17,1.823,1,1.931,2
18,1.841,2,1.95,0.8
19,1.829,4,1.95,1
20,1.828,5,1.95,1
21,1.814,3,1.95,2
22,1.817,6,1.95,0.9
23,1.802,2,1.95,1
24,1.803,1,1.95,1
25,1.791,4,1.95,0.8
26,1.793,1,1.954,2
27,1.783,2,1.954,2
28,1.782,4,1.955,2
29,1.771,4,1.956,1
30,1.772,3,1.957,2
31,1.758,5,1.958,2
32,1.754,5,1.956,2
33,1.744,2,1.954,2
34,1.744,1,1.954,2
35,1.732,4,1.955,2
36,1.732,5,1.955,2
37,1.719,5,1.954,2
38,1.721,5,1.954,2
39,1.707,3,1.955,2
