node,v_out,std,v_in (V),std(mV)
0,2.21,1,2.206,2
1,2.196,2,2.205,1
2,2.198,2,2.205,1
3,2.186,2,2.205,1
4,2.186,2,2.205,1
5,2.176,2,2.205,1
6,2.175,1,2.205,1
7,2.165,1,2.204,1
8,2.159,2,2.204,2
9,2.156,1,2.203,2
10,2.156,1,2.203,2
11,2.145,1,2.204,2
12,2.146,1,2.204,1
13,2.136,1,2.204,2
14,2.131,1,2.199,2
15,2.121,1,2.199,1
16,2.121,1,2.199,2
17,2.111,2,2.199,2
18,2.111,2,2.198,2
19,2.1,2,2.198,2
20,2.1,2,2.198,2
21,2.089,2,2.198,2
22,2.09,2,2.198,2
23,2.087,1,2.205,1
24,2.087,1,2.205,1
25,2.077,1,2.205,2
26,2.077,1,2.205,2
27,2.067,1,2.205,1
28,2.067,1,2.205,1
29,2.056,2,2.205,1
30,2.053,1,2.203,1
31,2.043,1,2.202,2
32,2.043,1,2.202,2
33,2.033,2,2.202,2
34,2.031,2,2.202,2
35,2.022,2,2.201,2
36,2.021,2,2.201,2
37,2.011,2,2.201,2
38,2.01,2,2.2,2
39,2.01,2,2.2,1
40,2,2,2.2,1
