k,w,v_phase,
0.078539816,36417.34204,463680,
0.157079633,73010.61327,464800,
0.235619449,109453.088,464533.3333,
0.314159265,146398.2177,466000,
0.392699082,181772.5509,462880,
0.471238898,218843.3442,464400,
0.549778714,254280.5094,462514.2857,
0.628318531,289466.3471,460700,
0.706858347,325154.8396,460000,
0.785398163,358958.3766,457040,
0.86393798,391316.7809,452945.4545,
0.942477796,424491.9993,450400,
1.021017612,456096.4214,446707.6923,
1.099557429,491973.4095,447428.5714,
1.178097245,519242.4338,440746.6667,
1.256637061,548773.4047,436700,
1.335176878,578178.712,433035.2941,
1.413716694,610914.1074,432133.3333,
1.49225651,636486.6716,426526.3158,
1.570796327,660362.7758,420400,jumpping point
1.649336143,685495.517,415619.0476,
1.727875959,711884.8953,412000,
1.806415776,736389.318,407652.1739,
1.884955592,756495.511,401333.3333,
1.963495408,776601.7039,395520,
2.042035225,800477.8081,392000,
2.120575041,816814.0899,385185.1852,
2.199114857,834407.0088,379428.5714,
2.277654674,850743.2906,373517.2414,
2.35619449,866451.2538,367733.3333,
2.35619449,881530.8986,374133.3333,
